name;id;url;promo_price;regular_price;manufacturer
Вода Легенда гор Архыз негазированная, 5л;573521;/products/gazirovannaya-legenda-gor-arhyz-5l;84.9;115;ЛЕГЕНДА ГОР АРХЫЗ
Вода Черноголовка природная негазированная, 5л;92957;/products/chernogolovskaya-bez-gaza-5l;89.9;105;ЧЕРНОГОЛОВКА
Вода Шишкин лес питьевая негазированная, 5л;92592;/products/shishkin-les-negazirovannaya-5l;115;115;ШИШКИН ЛЕС
Вода Святой Источник негазированная, 5л;125788;/products/art-423013;102.9;135;СВЯТОЙ ИСТОЧНИК
Вода Borjomi природная минеральная газированная стекло, 500мл;139174;/products/borjomi-gazirovannaya-steklo-05-l;104.9;143;BORJOMI
Вода Baikal430 Байкальская глубинная вода негазированная, 450мл;528852;/products/baikal-430-bajkalskaya-glubinnaya-negazirovannaya-045-l-653766;67.9;67.9;BAIKAL430
Вода Псыж газированная, 1л;575038;/products/art-91738;44.9;56.9;ПСЫЖ
Вода Святой Источник газированная, 1.5л;143139;/products/svyatoj-istochnik-gazirovannaya-15l-473977;44.9;54.9;СВЯТОЙ ИСТОЧНИК
Вода Святой Источник негазированная, 500мл;174593;/products/svyatoj-istochnik-negazirovannaya-05-l-473978;37.49;37.49;СВЯТОЙ ИСТОЧНИК
Вода Святой Источник негазированная, 1.5л;128238;/products/svyatoj-istochnik-negazirovannaya-15l-473976;44.9;54.9;СВЯТОЙ ИСТОЧНИК
Вода Baikal430 Байкальская глубинная вода негазированная, 850мл x 6 шт;581706;/products/baikal-430-bajkalskaya-glubinnaya-negazirovannaya-085-l;539.4;624;BAIKAL430
Вода Borjomi природная минеральная газированная, 1.25л;554228;/products/mineralnaya-borzhomi-pet-125l;154.9;171;BORJOMI
Вода питьевая Сенежская негазированная, 1.5л;113122;/products/senezhskaya-bez-gaza-15l;32.9;39.49;СЕНЕЖСКАЯ
Вода Рычал-Су минеральная газированная, 1л;154826;/products/rychal-su-1-l-461346;88.9;88.9;РЫЧАЛ-СУ
Вода Святой Источник негазированная, 330мл;205584;/products/svyatoj-istochnik-negazirovannaya-033-l-456829;27.9;27.9;СВЯТОЙ ИСТОЧНИК
Вода Baikal430 Байкальская глубинная вода негазированная, 850мл;575028;/products/voda-baikal-430-bajkalskaya-glubinnaya-voda-negazirovannaya-085-l;89.9;105;BAIKAL430
Вода Сенежская питьевая негазированная, 500мл;156410;/products/senezhskaya-negazirovannaya-05-l;28.49;28.49;СЕНЕЖСКАЯ
Вода Черноголовка питьевая негазированная, 19л;453522;/products/chernogolovskaya-stolovaya-negazirovannaya-19l;449;449;ЧЕРНОГОЛОВКА
Вода Donat Mg минеральная природная лечебная газированная, 1л;160713;/products/donat-mg-lechebno-stolovaya-prirodnoj-gazacii-1l;287;287;DONAT
Вода BonaAqua негазированная, 500мл;147264751;/products/05l-voda-bona-aqua-bg-pet-200957;42.9;58.9;BONAAQUA
Вода Рычал-Су минеральная газированная, 500мл;168421;/products/rychal-su-05-l-461345;79.9;89.9;РЫЧАЛ-СУ
Вода Evian негазированная, 1.5л;183654;/products/evian-stolovaya-pityevaya-negazirovannaya-15l-437963;261;261;EVIAN
Вода Tassay питьевая негазированная, 500мл;419814;/products/tassay-negazirovannaya-pet-05-l;51.9;51.9;TASSAY
Вода Tassay питьевая негазированная, 1.5л;419994;/products/tassay-bez-gaza-15l;52.9;78.9;TASSAY
Вода Baikal430 глубинная негазированная, 5л;605702;/products/5l-baikal430-glubinnaya-b-g-pet-117721;439;439;BAIKAL430
Вода Borjomi природная минеральная газированная, 500мл;173124;/products/borjomi-lechebno-stolovaya-gazirovannaya-12h05-l;109;109;BORJOMI
Вода Legend of Baikal негазированная, 750мл;637490;/products/075-l-legend-of-baikal-st-n-g-125700;119;136;LEGEND OF BAIKAL
